gbm	categ
CERCAM	1
HUWE1	1
PSD3	1
WDR90	1
POLG	1
ACE	1
DUSP27	1
TG	1
PLXNB2	1
PSMD2	1
DSCAM	1
APBA2	1
SHROOM4	1
RPSA	1
ACACA	1
CPXM1	1
MYH13	1
INO80D	1
PTPRM	1
MED12	1
CPAMD8	1
NHSL2	1
ABCB5	1
CLEC16A	1
FLNA	1
TSHZ2	1
SBF1	1
SETBP1	1
C11orf82	1
MECOM	1
CFH	1
GPR6	1
RPAP1	1
ZEB2	1
FGD5	1
SMCHD1	1
SEMG1	1
RBM6	1
ADAM29	1
HMCES	1
SIPA1L1	1
GDPD2	1
PCDHA1	1
CAMSAP1	1
NWD1	1
TECTA	1
ATP10B	1
PKD1	1
PLEKHG4B	1
PABPC1	1
IGSF21	1
SPTBN1	1
COL11A2	1
DNAH7	1
TPSD1	1
BNC2	1
BCL11A	1
DNAH10	1
FBXW10	1
FRYL	1
SLC2A4	1
BBS4	1
COL6A2	1
FMN2	1
SPEG	1
ZNF618	1
PKD1L2	1
POTEF	1
JAG2	1
GRIP1	1
ZDBF2	1
UNC79	1
NOTCH4	1
ROS1	1
TENM1	1
SLITRK4	1
NOTCH3	1
SYNPO	1
BCLAF1	1
COL5A3	1
DSG3	1
ZC3H4	1
BRCA2	1
UCKL1	1
PCNXL3	1
DYNC2H1	1
CCNB1	1
CADPS	1
CSMD3	1
TEX15	1
CILP2	1
PRICKLE2	1
SCN10A	1
PGR	1
TMTC2	1
TPTE2	1
UACA	1
SPTBN4	1
PKD1L1	1
ABCB4	1
FAM120A	1
OTOP1	1
IGFN1	1
RIMBP2	1
ARMC3	1
CTNND2	1
ITPR1	1
TRPM2	1
POM121L12	1
SLC35B1	1
TAS2R14	1
MAPK7	1
PRAME	1
TAP2	1
CUL9	1
BCOR	1
FAM92B	1
SPTBN2	1
CYP11B2	1
SRRM2	1
CARD6	1
NBEA	1
FARP2	1
PCDHA3	1
DPP10	1
TSPAN11	1
